#,תעתיק מנוקד,משמעות בעברית,כתב ערבי,סוג,הערות
,תְשַרַפְנַא,כיבדת אותנו,,phrase,
,קַדֵּיש עֻמְרַכּ,בן כמה אתה,,sentence,
,פַןּ,אומנות,,word,שדה על ה-ן
,מֻתְקַאעֶד,פנסיונר,,word,
,דוֹר,תור,,word,
,בַּשְתְעֶ׳ל,אני עובד,,word,
,מֻבַּרְמֶג׳,מתכנת,,word,
,חַכִּי,דיבור,,word,
,בִּחְכִּי,מדבר,,word,
,בַּחְכִּי,אני מדבר,,word,
,מְטַלַּק,גרוש,,word,שדה על ה-ל
,מְבַּיֶּן עַלֵיכּ,רואים עליך,,phrase,
,אֶ(ל)שַּרַף אִלִי / אִלְנַא,הכבוד הוא לו/לנו,,phrase,
,דִיר בַּאלַכּ עַלַא חַאלַכּ,שמור על עצמך,,sentence,
,זַעְלַאן,כועס/עצוב,,word,
,מִתְזַוֶּג׳,נשוי,,word,שדה על ה-ו
,עַצַּאבִּי,רווק,,word,שדה על ה-צ
,סֻבְּחַאן אִלִי מַא בִּעְ׳לַט,אשרי מי שאינו טועה,,sentence,פתגם
,כַּמַּאן מַרַּה,עוד פעם,,phrase,שדה על ה-מ בכמאן ועל ה-ר במרה
,מִש פַאהֶם,לא מבין,,phrase,
,וַקֶּף,עצור/עמוד,,word,שדה על ה-ק
,כַּלְבֵּין,שני כלבים,,word,צורת זוגי
,שֻרְּטִי,שוטר,,word,שדה על ה-ר
,מַנְטַקַה,אזור,,word,
,אַחְכִּי,תדבר,,word,
,שַמַאל,צפון,,word,
,תַעַארוּף,היכרות,,word,
,אַצְל,מקור,,word,
,אַצְלִי,מקורי,,word,
